Name,Code.Class,Accession,MB258,MB264,MB342,MB396,MB413,MB414,MB442,176,183,77,401,766,381,741,383,375,360,D458Med,med1603,D425Med,MB236,MB297,MB331,MB331-P,MB337TUB,MB348TUB,MB531,MB556,MB559,MB303,MB561,MB562,MB564,MB565,MB357,MB566,MB569,MB369,MB570,MB378,MB571,MB572,MB392,MB395,MB573,MB374,MB575,MB577,MB578,MB579,MB551,MB552,MB554,MB555,MB355,MB376,MB382,MB377,MB408,MB359,MB479,MB308,MB353,MB300,MB314,MB401,MB452,MB457,MB441,MB404,MB327,MB583,MN585,MB586,MB589,MB324,MB592,MB592,MB594,MB595,HD-MB03
RBM24,Endogenous,NM_153020.2,900.00,1042.00,2897.00,19.00,2244.00,65.00,205.00,14.00,677.00,396.00,479.00,4.00,3.00,5.00,551.00,12.00,557.00,165.00,5.00,77.00,209.00,66.00,3.00,13.00,10.00,41.00,12.00,243.00,219.00,5.00,63.00,36.00,2.00,2.00,1.00,1.00,39.00,129.00,5.00,133.00,94.00,2.00,185.00,282.00,376.00,17.00,46.00,926.00,687.00,1514.00,419.00,476.00,669.00,108.00,1336.00,544.00,246.00,30.00,698.00,1276.00,1312.00,640.00,2685.00,617.00,502.00,1307.00,1117.00,1821.00,1706.00,146.00,1447.00,6407.00,26.00,27.00,157.00,223.00,13.00,126.00,125.00,109.00,73.00
UNC5D,Endogenous,NM_080872.2,2989.00,4230.00,4445.00,2274.00,7257.00,96.00,28.00,373.00,879.00,756.00,1297.00,30.00,397.00,16.00,1449.00,388.00,1770.00,7.00,8.00,4.00,178.00,38.00,2.00,8.00,14.00,347.00,50.00,623.00,362.00,6.00,15.00,106.00,27.00,3.00,7.00,186.00,58.00,179.00,13.00,175.00,83.00,46.00,501.00,28.00,336.00,72.00,212.00,4590.00,1625.00,3300.00,757.00,995.00,565.00,63.00,597.00,1287.00,326.00,101.00,938.00,2425.00,2701.00,1601.00,2055.00,3374.00,290.00,2512.00,548.00,3969.00,1883.00,590.00,5929.00,3281.00,217.00,908.00,743.00,528.00,1.00,45.00,424.00,176.00,14.00
ACTB,Housekeeping,NM_001101.2,54202.00,39562.00,29413.00,44125.00,44203.00,23673.00,50384.00,13679.00,18348.00,7101.00,14509.00,19640.00,27667.00,8790.00,14194.00,12238.00,19888.00,4587.00,8196.00,4626.00,15819.00,14746.00,13363.00,16423.00,20002.00,18274.00,14625.00,4110.00,3576.00,2073.00,7444.00,2364.00,6439.00,1612.00,2440.00,6897.00,1449.00,8136.00,2618.00,3378.00,6974.00,5364.00,4309.00,6775.00,4991.00,4837.00,4996.00,9012.00,7035.00,11244.00,7306.00,9915.00,7666.00,920.00,16493.00,4766.00,8399.00,11393.00,5300.00,9489.00,5640.00,6020.00,12632.00,15214.00,14670.00,7398.00,9480.00,10104.00,10538.00,4024.00,10501.00,20276.00,12291.00,6027.00,14970.00,8647.00,2597.00,3992.00,3485.00,664.00,3629.00
GAPDH,Housekeeping,NM_002046.3,24927.00,31362.00,18253.00,23728.00,41234.00,18042.00,83245.00,10983.00,11893.00,3508.00,5625.00,15763.00,5704.00,12878.00,9109.00,2788.00,6290.00,8988.00,15257.00,6259.00,12889.00,17677.00,10530.00,8895.00,9124.00,12223.00,6896.00,2207.00,1890.00,879.00,2301.00,1504.00,1790.00,466.00,971.00,4317.00,516.00,4814.00,1500.00,1732.00,3348.00,3270.00,3432.00,2717.00,2082.00,1637.00,2686.00,13080.00,9430.00,10735.00,2779.00,4685.00,2591.00,403.00,8227.00,2627.00,3004.00,7481.00,2427.00,10120.00,6697.00,7321.00,14092.00,13766.00,19337.00,8135.00,14596.00,8946.00,12708.00,8901.00,15402.00,12000.00,14337.00,8913.00,7076.00,1793.00,1164.00,1647.00,1534.00,336.00,10249.00
LDHA,Housekeeping,NM_001165414.1,11883.00,5273.00,2127.00,4067.00,8179.00,9524.00,18120.00,6619.00,1820.00,761.00,926.00,7633.00,2788.00,9996.00,2126.00,1244.00,3070.00,6010.00,5369.00,7448.00,2639.00,5718.00,2299.00,1937.00,5123.00,3224.00,3632.00,344.00,243.00,150.00,472.00,234.00,500.00,115.00,261.00,2810.00,159.00,2491.00,347.00,121.00,1232.00,1208.00,444.00,921.00,312.00,867.00,1099.00,4263.00,1708.00,2827.00,300.00,726.00,365.00,51.00,942.00,612.00,387.00,792.00,334.00,1637.00,1619.00,3917.00,3029.00,6913.00,8348.00,1208.00,2911.00,1006.00,3547.00,1263.00,3764.00,3180.00,6005.00,5662.00,1597.00,748.00,677.00,530.00,291.00,85.00,3244.00
POS_A,Positive,ERCC_00117.1,82263.00,89257.00,89546.00,87524.00,102693.00,94813.00,98609.00,30237.00,25998.00,23685.00,27382.00,25416.00,24879.00,29050.00,32804.00,27874.00,31917.00,16420.00,17753.00,18194.00,20450.00,20465.00,24218.00,26989.00,23964.00,22622.00,24165.00,14547.00,16968.00,11164.00,17149.00,12998.00,17536.00,13175.00,18071.00,17529.00,17534.00,17188.00,18913.00,16278.00,19100.00,17664.00,18593.00,17813.00,21438.00,21320.00,23374.00,60812.00,55527.00,48961.00,63872.00,58763.00,54580.00,55296.00,58512.00,57100.00,66629.00,57861.00,64558.00,49809.00,41835.00,36891.00,45395.00,40951.00,42337.00,41327.00,42130.00,45365.00,52612.00,39405.00,53932.00,48616.00,38459.00,43342.00,41183.00,30230.00,30843.00,33780.00,33266.00,31380.00,22600.00
POS_B,Positive,ERCC_00112.1,20812.00,22712.00,22779.00,22413.00,25732.00,23520.00,25389.00,8311.00,7201.00,6510.00,7488.00,6917.00,6902.00,7768.00,8791.00,7646.00,8623.00,4740.00,5111.00,5145.00,5884.00,6032.00,6605.00,7480.00,6737.00,6416.00,6595.00,3474.00,4227.00,2744.00,4285.00,3126.00,4336.00,3237.00,4397.00,4593.00,4324.00,4378.00,4590.00,4081.00,4677.00,4497.00,4630.00,4483.00,5352.00,5223.00,5834.00,21431.00,19007.00,16929.00,21850.00,20270.00,19076.00,18934.00,20413.00,19917.00,22956.00,20101.00,22246.00,17616.00,14729.00,12979.00,15208.00,13888.00,14457.00,13668.00,14202.00,15460.00,18059.00,13432.00,18695.00,16822.00,13440.00,14530.00,14201.00,9794.00,9639.00,10766.00,10778.00,10569.00,8269.00
POS_C,Positive,ERCC_00002.1,5063.00,5328.00,5406.00,5462.00,6196.00,5533.00,6070.00,1724.00,1524.00,1354.00,1649.00,1452.00,1408.00,1645.00,1800.00,1435.00,1764.00,1101.00,1215.00,1199.00,1350.00,1184.00,1427.00,1546.00,1476.00,1400.00,1498.00,1001.00,1138.00,763.00,1060.00,791.00,1160.00,798.00,1132.00,1102.00,1084.00,1116.00,1290.00,1012.00,1221.00,1177.00,1219.00,1179.00,1386.00,1295.00,1439.00,6010.00,5333.00,4959.00,6367.00,5845.00,5414.00,5241.00,5763.00,5782.00,6353.00,5532.00,6297.00,4673.00,3964.00,3460.00,4216.00,3806.00,3839.00,3817.00,3860.00,4199.00,5022.00,3620.00,5130.00,4592.00,3595.00,4151.00,3885.00,2716.00,2765.00,3117.00,3073.00,2861.00,2296.00
POS_D,Positive,ERCC_00092.1,1425.00,1484.00,1434.00,1456.00,1715.00,1475.00,1644.00,515.00,476.00,426.00,455.00,421.00,434.00,512.00,533.00,428.00,505.00,275.00,364.00,363.00,398.00,369.00,420.00,441.00,408.00,399.00,404.00,227.00,303.00,185.00,247.00,234.00,264.00,234.00,293.00,339.00,268.00,279.00,315.00,243.00,312.00,323.00,327.00,292.00,320.00,344.00,383.00,1432.00,1391.00,1213.00,1472.00,1465.00,1262.00,1290.00,1467.00,1421.00,1584.00,1441.00,1532.00,1159.00,1000.00,900.00,998.00,965.00,955.00,886.00,1024.00,1059.00,1215.00,894.00,1277.00,1129.00,934.00,1008.00,1015.00,644.00,686.00,719.00,741.00,730.00,544.00
POS_E,Positive,ERCC_00035.1,248.00,277.00,270.00,276.00,319.00,284.00,280.00,100.00,73.00,70.00,90.00,91.00,78.00,87.00,87.00,79.00,103.00,38.00,38.00,52.00,57.00,72.00,57.00,68.00,79.00,63.00,53.00,28.00,30.00,30.00,29.00,27.00,40.00,33.00,46.00,42.00,36.00,27.00,59.00,30.00,52.00,48.00,41.00,42.00,52.00,56.00,63.00,278.00,240.00,230.00,324.00,285.00,231.00,227.00,281.00,256.00,294.00,300.00,276.00,215.00,198.00,173.00,228.00,171.00,187.00,171.00,184.00,176.00,229.00,164.00,271.00,208.00,143.00,184.00,181.00,108.00,115.00,158.00,142.00,135.00,95.00
